a,of
a,he
a,she
a,it
a,joy
a,pain
a,surprise
aa,joy
aa,pain
aa,surprise
aali,good
aali,excellent
aali,first-class
aali,first
aasi,disobey
aasi,rebel
aasi,revolt
aasi,rebellion
aasi,disobedient
aasi,obligation
abadan,never
abadan,way
abadani,never!
abadani,never
abadi,always
abadi,constantly
abcde,abcde
abd,servant
abd,slave
abe,service
abe,yes
abedari,block
abedari,pulley
abedari,Look-out
abedari,Take-care
abedari,Watch-out
abedari!,care
abedari!,look
abedari!,watch
abee,at-your-service
abee,I-am-coming
abee,Yes-sir
abee,Yes-ma'am
abee,yes
abidi,always
abidi,constantly
abiri,cross
abiri,travel
abiri,go
abiri,pass
abiria,passenger
abiria,travel
abirika,travel
abirisha,convey
abirisha,cause-to-travel
abirisha,travel
abiriwa,be-crossed
abiriwa,be-passed-over
abiriwa,be-travelled
abiriwa,cross
abiriwa,pass
abiriwa,traverse
abiriwa,travel
abjadi,alphabet
abjadi,Roman-alphabet
abjadi za Kirumi,alphabet
abos,exclamation-of-admiration
abos,admiration
abu,father
abudia,pray-to
abudia,pray-for
abudia,pray
abudisha,cause-to-fear
abudisha,cause-to-pray
abudisha,cause-to-serve
abudisha,cause-to-worship
abudisha,fear
abudisha,pray
abudisha,serve
abudisha,worship
abudiwa,be-worshipped
abudiwa,worship
abudu,fear
abudu,pray
abudu,serve
abudu,worship
abunuwasi,Abunuwasi
Abunuwasi,name
Abunuwasi,tale
acha,leave-behind
acha,desert
acha,abandon
acha,divorce
acha,stop
acha,cease
acha,discontinue
acha,fail-to-do
acha,neglect
acha,release
acha,acquit
acha,pardon
acha,allow
acha,permit
acha,fail
acha,leave
achama,gasp
achama,open-mouth-wide
achama,open
achana,divorce
achana,leave-each-other
achana,separate
achana,be-separated
achana,break-up
achana,part
achana,be-different
achana,diverge
achana,different
achana,leave
achana,separated
achana na,break-up
achana na,part
achari,pickle
achari,lime-pickle
achari,mango-pickle
achari,chutney
achari,relish
achari,condiment
achari,lime
achari,mango
achia,bequeath
achia,leave-for
achia,let-out
achia,yield
achia,leave
achia,let-have
achilia,forgive
achilia,pardon
achilia,release
achilia,cease
achilia,break-off
achilia,abandon
achilia,leave-alone
achilia mbali,abandon
achilia mbali,break
achilia mbali,cease
achilia mbali,leave
achilika,be-excusable
achilika,be-pardonable
achilika,excusable
achilika,pardonable
achilio,forgiveness
achilio,pardon
achiliwa,be-released
achiliwa,release
achisha,cause-to-divorce
achisha,cause-to-abandon
achisha,cause-to-leave
achisha,wean
achisha,abandon
achisha,divorce
achisha,leave
achiwa,inherit
achwa,be-left
achwa,be-abandoned
achwa,abandon
achwa,leave
ada,contribution
ada,custom
ada,customary-payment
ada,fee
ada,gift-(that-is-expected-to-be-forthcoming)
ada,habit
ada,manner
